data, sillyHash, FirstLetter, WordLen, LetterSum, Rolleft, MyHash, 
142, 0, 0, 0, 8, 71, 55, 
143, 0, 0, 0, 10, 31, 44, 
144, 0, 0, 0, 8, 70, 54, 
145, 0, 0, 0, 15, 50, 57, 
146, 0, 0, 0, 12, 67, 57, 
147, 0, 0, 0, 8, 44, 50, 
148, 0, 0, 0, 10, 66, 40, 
149, 0, 0, 0, 14, 45, 56, 
150, 0, 0, 0, 13, 66, 54, 
151, 0, 0, 0, 20, 51, 61, 
152, 0, 0, 0, 14, 42, 54, 
153, 0, 0, 0, 11, 39, 51, 
154, 0, 0, 0, 13, 63, 47, 
155, 0, 0, 0, 17, 45, 61, 
156, 0, 0, 0, 11, 69, 51, 
157, 0, 0, 0, 11, 49, 50, 
158, 0, 0, 0, 5, 67, 55, 
159, 0, 0, 0, 7, 30, 51, 
160, 0, 0, 0, 6, 60, 66, 
161, 0, 0, 0, 6, 49, 46, 
162, 0, 0, 0, 13, 49, 60, 
163, 0, 0, 0, 4, 50, 51, 
164, 0, 0, 0, 7, 75, 51, 
165, 0, 0, 0, 8, 59, 56, 
166, 0, 0, 0, 4, 68, 45, 
167, 0, 0, 0, 5, 39, 64, 
168, 0, 0, 0, 9, 59, 57, 
169, 0, 0, 0, 8, 50, 47, 
170, 0, 0, 0, 6, 69, 53, 
171, 0, 0, 0, 1, 46, 59, 
172, 0, 0, 0, 3, 70, 46, 
173, 0, 0, 0, 6, 52, 59, 
174, 0, 0, 0, 8, 75, 60, 
175, 0, 0, 0, 6, 46, 77, 
176, 0, 0, 0, 4, 83, 66, 
177, 0, 0, 0, 2, 45, 62, 
178, 0, 0, 0, 3, 62, 57, 
179, 0, 0, 0, 7, 43, 55, 
180, 0, 1, 0, 4, 65, 54, 
181, 0, 4, 0, 7, 50, 56, 
182, 0, 0, 0, 4, 62, 49, 
183, 0, 0, 0, 8, 48, 70, 
184, 0, 0, 0, 1, 82, 51, 
185, 0, 0, 0, 3, 47, 54, 
186, 0, 0, 0, 5, 60, 47, 
187, 0, 0, 0, 4, 63, 54, 
188, 0, 0, 0, 14, 66, 55, 
189, 0, 0, 0, 5, 50, 58, 
190, 0, 0, 0, 7, 53, 70, 
191, 0, 0, 0, 2, 63, 42, 
192, 0, 0, 0, 5, 75, 63, 
193, 0, 0, 0, 5, 47, 50, 
194, 0, 8, 0, 4, 67, 58, 
195, 0, 1, 0, 9, 57, 54, 
196, 0, 0, 0, 2, 69, 49, 
197, 0, 0, 0, 6, 53, 63, 
198, 0, 0, 0, 4, 63, 43, 
199, 0, 0, 0, 8, 49, 73, 
200, 0, 0, 0, 5, 72, 55, 
201, 0, 0, 0, 8, 33, 57, 
202, 0, 0, 0, 8, 62, 61, 
203, 0, 0, 0, 9, 59, 48, 
204, 0, 0, 0, 3, 66, 49, 
205, 0, 0, 0, 11, 62, 50, 
206, 0, 0, 0, 8, 69, 56, 
207, 0, 0, 0, 13, 60, 60, 
208, 0, 0, 0, 9, 63, 69, 
209, 0, 0, 0, 7, 50, 44, 
210, 0, 0, 0, 6, 56, 58, 
211, 0, 0, 0, 11, 66, 60, 
212, 0, 0, 0, 10, 59, 51, 
213, 0, 0, 0, 11, 74, 48, 
214, 0, 0, 0, 10, 55, 49, 
215, 0, 0, 0, 11, 76, 62, 
216, 0, 0, 0, 11, 49, 43, 
217, 0, 0, 0, 9, 54, 64, 
